year,Census Block,Age Group,Crime Type,#Crimes
2015,4911001,25-44,CRIM SEXUAL ASSAULT,2
2016,4911001,25-44,CRIM SEXUAL ASSAULT,1
2015,4911001,25-44,CRIMINAL DAMAGE,11
2016,4911001,25-44,CRIMINAL DAMAGE,6
2016,4911001,25-44,CRIMINAL TRESPASS,1
2016,4911001,25-44,DECEPTIVE PRACTICE,1
2015,4911001,25-44,GAMBLING,1
2015,4911001,25-44,MOTOR VEHICLE THEFT,4
2015,4911001,25-44,NARCOTICS,4
2016,4911001,25-44,NARCOTICS,4
2015,4911001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,4911001,25-44,OTHER OFFENSE,2
2016,4911001,25-44,OTHER OFFENSE,2
2015,4911001,25-44,PUBLIC PEACE VIOLATION,1
2015,4911001,25-44,ROBBERY,4
2016,4911001,25-44,ROBBERY,3
2015,4911001,25-44,THEFT,16
2016,4911001,25-44,THEFT,4
2015,4911001,25-44,WEAPONS VIOLATION,1
2015,4912002,25-44,ASSAULT,4
2016,4912002,25-44,ASSAULT,1
2015,4912002,25-44,BATTERY,11
2016,4912002,25-44,BATTERY,7
2015,4912002,25-44,BURGLARY,1
2015,4912002,25-44,CRIMINAL DAMAGE,8
2016,4912002,25-44,CRIMINAL DAMAGE,7
2015,4912002,25-44,DECEPTIVE PRACTICE,2
2015,4912002,25-44,MOTOR VEHICLE THEFT,2
2015,4912002,25-44,NARCOTICS,3
2016,4912002,25-44,NARCOTICS,2
2015,4912002,25-44,OTHER OFFENSE,6
2016,4912002,25-44,OTHER OFFENSE,3
2015,4912002,25-44,PUBLIC PEACE VIOLATION,1
2015,4912002,25-44,ROBBERY,1
2015,4912002,25-44,SEX OFFENSE,1
2015,4912002,25-44,THEFT,8
2016,4912002,25-44,THEFT,3
2015,4912002,25-44,WEAPONS VIOLATION,1
2016,4912002,25-44,WEAPONS VIOLATION,2
2015,4913002,45-64,ASSAULT,4
2016,4913002,45-64,ASSAULT,3
2015,4913002,45-64,BATTERY,26
2016,4913002,45-64,BATTERY,14
2015,4913002,45-64,BURGLARY,9
2016,4913002,45-64,BURGLARY,2
2015,4913002,45-64,CRIM SEXUAL ASSAULT,2
2015,4913002,45-64,CRIMINAL DAMAGE,13
2016,4913002,45-64,CRIMINAL DAMAGE,4
2015,4913002,45-64,CRIMINAL TRESPASS,1
2016,4913002,45-64,CRIMINAL TRESPASS,1
2014,4913002,45-64,DECEPTIVE PRACTICE,1
2015,4913002,45-64,DECEPTIVE PRACTICE,3
2016,4913002,45-64,DECEPTIVE PRACTICE,1
2015,4913002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2016,4913002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,4913002,45-64,MOTOR VEHICLE THEFT,3
2016,4913002,45-64,MOTOR VEHICLE THEFT,2
2015,4913002,45-64,NARCOTICS,4
2016,4913002,45-64,NARCOTICS,2
2016,4913002,45-64,OTHER OFFENSE,1
2015,4913002,45-64,ROBBERY,3
2015,4913002,45-64,THEFT,18
2016,4913002,45-64,THEFT,5
2015,4913002,45-64,WEAPONS VIOLATION,2
2016,4913002,45-64,WEAPONS VIOLATION,2
2015,4914003,45-64,ASSAULT,2
2016,4914003,45-64,ASSAULT,3
2015,4914003,45-64,BATTERY,4
2016,4914003,45-64,BATTERY,5
2001,4914003,45-64,CRIM SEXUAL ASSAULT,1
2015,4914003,45-64,CRIMINAL DAMAGE,8
2016,4914003,45-64,CRIMINAL DAMAGE,3
2015,4914003,45-64,CRIMINAL TRESPASS,2
2016,4914003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,4914003,45-64,OTHER OFFENSE,3
2016,4914003,45-64,OTHER OFFENSE,1
2015,4914003,45-64,THEFT,5
2016,4914003,45-64,THEFT,3
2015,5001003,25-44,ASSAULT,8
2016,5001003,25-44,ASSAULT,6
2015,5001003,25-44,BATTERY,31
2016,5001003,25-44,BATTERY,10
2018,5001003,25-44,BATTERY,1
2015,5001003,25-44,BURGLARY,10
2016,5001003,25-44,BURGLARY,4
2015,5001003,25-44,CRIMINAL DAMAGE,13
2016,5001003,25-44,CRIMINAL DAMAGE,19
2015,5001003,25-44,CRIMINAL TRESPASS,4
2016,5001003,25-44,CRIMINAL TRESPASS,1
2015,5001003,25-44,DECEPTIVE PRACTICE,2
2016,5001003,25-44,DECEPTIVE PRACTICE,4
2016,5001003,25-44,KIDNAPPING,1
2015,5001003,25-44,LIQUOR LAW VIOLATION,1
2015,5001003,25-44,MOTOR VEHICLE THEFT,5
2016,5001003,25-44,MOTOR VEHICLE THEFT,1
2015,5001003,25-44,NARCOTICS,6
2016,5001003,25-44,NARCOTICS,1
2015,5001003,25-44,OFFENSE INVOLVING CHILDREN,3
2015,5001003,25-44,OTHER OFFENSE,9
2016,5001003,25-44,OTHER OFFENSE,6
2015,5001003,25-44,PUBLIC INDECENCY,1
2016,5001003,25-44,PUBLIC PEACE VIOLATION,1
2015,5001003,25-44,ROBBERY,8
2016,5001003,25-44,ROBBERY,3
2015,5001003,25-44,THEFT,11
2016,5001003,25-44,THEFT,10
2015,5001003,25-44,WEAPONS VIOLATION,2
2016,5003001,25-44,ASSAULT,1
2015,5003001,25-44,BATTERY,1
2016,5003001,25-44,BATTERY,3
2015,5003001,25-44,BURGLARY,1
2015,5003001,25-44,CRIMINAL DAMAGE,1
2016,5003001,25-44,DECEPTIVE PRACTICE,1
2016,5003001,25-44,NARCOTICS,1
2015,5003001,25-44,OTHER OFFENSE,1
2015,5003001,25-44,THEFT,2
2015,5102002,45-64,BATTERY,2
2015,5102002,45-64,MOTOR VEHICLE THEFT,1
2015,5102002,45-64,NARCOTICS,3
2016,5102002,45-64,NARCOTICS,1
2015,5102002,45-64,OTHER OFFENSE,1
2015,5102002,45-64,ROBBERY,1
2016,5102002,45-64,THEFT,2
2015,5103004,45-64,ASSAULT,5
2016,5103004,45-64,ASSAULT,3
2015,5103004,45-64,BATTERY,2
2016,5103004,45-64,BATTERY,4
2015,5103004,45-64,CRIMINAL DAMAGE,8
2016,5103004,45-64,CRIMINAL DAMAGE,2
2015,5103004,45-64,CRIMINAL TRESPASS,2
2015,5103004,45-64,DECEPTIVE PRACTICE,2
2016,5103004,45-64,DECEPTIVE PRACTICE,1
2015,5103004,45-64,MOTOR VEHICLE THEFT,1
2015,5103004,45-64,NARCOTICS,2
2016,5103004,45-64,NARCOTICS,1
2015,5103004,45-64,OTHER OFFENSE,10
2016,5103004,45-64,OTHER OFFENSE,1
2015,5103004,45-64,PUBLIC PEACE VIOLATION,1
2015,5103004,45-64,THEFT,3
2016,5103004,45-64,THEFT,3
2015,5103004,45-64,WEAPONS VIOLATION,1
2015,5202002,25-44,BURGLARY,1
2016,5202002,25-44,THEFT,1
2015,5202003,5-17,ASSAULT,4
2016,5202003,5-17,ASSAULT,2
2015,5202003,5-17,BATTERY,4
2015,5202003,5-17,BURGLARY,2
2015,5202003,5-17,CRIMINAL DAMAGE,5
2015,5202003,5-17,DECEPTIVE PRACTICE,1
2016,5202003,5-17,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5202003,5-17,NARCOTICS,1
2015,5202003,5-17,OTHER OFFENSE,1
2015,5202003,5-17,THEFT,2
2015,5301001,25-44,ARSON,1
2015,5301001,25-44,ASSAULT,3
2015,5301001,25-44,BATTERY,6
2016,5301001,25-44,BATTERY,3
2015,5301001,25-44,BURGLARY,3
2015,5301001,25-44,CRIMINAL DAMAGE,4
2016,5301001,25-44,CRIMINAL DAMAGE,3
2016,5301001,25-44,CRIMINAL TRESPASS,1
2015,5301001,25-44,DECEPTIVE PRACTICE,3
2016,5301001,25-44,DECEPTIVE PRACTICE,3
2015,5301001,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2016,5301001,25-44,MOTOR VEHICLE THEFT,1
2015,5301001,25-44,NARCOTICS,1
2016,5301001,25-44,NARCOTICS,1
2015,5301001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,5301001,25-44,OTHER OFFENSE,3
2015,5301001,25-44,THEFT,4
2016,5301001,25-44,THEFT,1
2015,5301001,25-44,WEAPONS VIOLATION,1
2015,5302001,25-44,ARSON,1
2015,5302001,25-44,ASSAULT,9
2016,5302001,25-44,ASSAULT,8
2015,5302001,25-44,BATTERY,27
2016,5302001,25-44,BATTERY,11
2015,5302001,25-44,BURGLARY,2
2016,5302001,25-44,BURGLARY,1
2015,5302001,25-44,CRIMINAL DAMAGE,19
2016,5302001,25-44,CRIMINAL DAMAGE,9
2015,5302001,25-44,CRIMINAL TRESPASS,6
2014,5302001,25-44,DECEPTIVE PRACTICE,1
2015,5302001,25-44,DECEPTIVE PRACTICE,6
2016,5302001,25-44,DECEPTIVE PRACTICE,1
2015,5302001,25-44,INTERFERENCE WITH PUBLIC OFFICER,4
2018,5302001,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5302001,25-44,MOTOR VEHICLE THEFT,2
2015,5302001,25-44,NARCOTICS,9
2016,5302001,25-44,NARCOTICS,5
2015,5302001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,5302001,25-44,OTHER OFFENSE,4
2016,5302001,25-44,OTHER OFFENSE,8
2015,5302001,25-44,PROSTITUTION,2
2015,5302001,25-44,PUBLIC PEACE VIOLATION,2
2015,5302001,25-44,ROBBERY,1
2016,5302001,25-44,ROBBERY,3
2016,5302001,25-44,SEX OFFENSE,1
2015,5302001,25-44,THEFT,28
2016,5302001,25-44,THEFT,10
2015,5302001,25-44,WEAPONS VIOLATION,5
2015,5302004,5-17,ARSON,2
2015,5302004,5-17,ASSAULT,22
2016,5302004,5-17,ASSAULT,11
2015,5302004,5-17,BATTERY,45
2016,5302004,5-17,BATTERY,20
2015,5302004,5-17,BURGLARY,9
2016,5302004,5-17,BURGLARY,4
2015,5302004,5-17,CONCEALED CARRY LICENSE VIOLATION,1
2016,5302004,5-17,CRIM SEXUAL ASSAULT,1
2015,5302004,5-17,CRIMINAL DAMAGE,33
2016,5302004,5-17,CRIMINAL DAMAGE,18
2015,5302004,5-17,CRIMINAL TRESPASS,3
2016,5302004,5-17,CRIMINAL TRESPASS,1
2014,5302004,5-17,DECEPTIVE PRACTICE,1
2015,5302004,5-17,DECEPTIVE PRACTICE,8
2016,5302004,5-17,DECEPTIVE PRACTICE,6
2009,5302004,5-17,HOMICIDE,1
2015,5302004,5-17,INTERFERENCE WITH PUBLIC OFFICER,4
2016,5302004,5-17,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5302004,5-17,KIDNAPPING,1
2016,5302004,5-17,KIDNAPPING,1
2016,5302004,5-17,LIQUOR LAW VIOLATION,1
2015,5302004,5-17,MOTOR VEHICLE THEFT,9
2016,5302004,5-17,MOTOR VEHICLE THEFT,6
2015,5302004,5-17,NARCOTICS,16
2016,5302004,5-17,NARCOTICS,6
2015,5302004,5-17,OFFENSE INVOLVING CHILDREN,2
2016,5302004,5-17,OFFENSE INVOLVING CHILDREN,3
2015,5302004,5-17,OTHER OFFENSE,22
2016,5302004,5-17,OTHER OFFENSE,8
2016,5302004,5-17,PUBLIC PEACE VIOLATION,1
2015,5302004,5-17,ROBBERY,8
2016,5302004,5-17,ROBBERY,1
2015,5302004,5-17,THEFT,41
2016,5302004,5-17,THEFT,14
2015,5302004,5-17,WEAPONS VIOLATION,9
2016,5302004,5-17,WEAPONS VIOLATION,4
2015,5302005,5-17,ASSAULT,8
2016,5302005,5-17,ASSAULT,3
2015,5302005,5-17,BATTERY,14
2016,5302005,5-17,BATTERY,8
2015,5302005,5-17,BURGLARY,4
2016,5302005,5-17,BURGLARY,1
2015,5302005,5-17,CRIMINAL DAMAGE,9
2016,5302005,5-17,CRIMINAL DAMAGE,5
2015,5302005,5-17,DECEPTIVE PRACTICE,1
2016,5302005,5-17,DECEPTIVE PRACTICE,2
2016,5302005,5-17,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5302005,5-17,MOTOR VEHICLE THEFT,1
2015,5302005,5-17,NARCOTICS,3
2015,5302005,5-17,OTHER OFFENSE,3
2016,5302005,5-17,OTHER OFFENSE,1
2015,5302005,5-17,THEFT,11
2016,5302005,5-17,THEFT,2
2015,5302005,5-17,WEAPONS VIOLATION,2
2015,5303002,45-64,ASSAULT,9
2016,5303002,45-64,ASSAULT,4
2015,5303002,45-64,BATTERY,16
2016,5303002,45-64,BATTERY,13
2015,5303002,45-64,BURGLARY,1
2016,5303002,45-64,BURGLARY,2
2015,5303002,45-64,CONCEALED CARRY LICENSE VIOLATION,1
2016,5303002,45-64,CRIM SEXUAL ASSAULT,1
2015,5303002,45-64,CRIMINAL DAMAGE,11
2016,5303002,45-64,CRIMINAL DAMAGE,5
2015,5303002,45-64,CRIMINAL TRESPASS,3
2016,5303002,45-64,CRIMINAL TRESPASS,1
2015,5303002,45-64,DECEPTIVE PRACTICE,4
2016,5303002,45-64,DECEPTIVE PRACTICE,8
2008,5303002,45-64,HOMICIDE,1
2009,5303002,45-64,HOMICIDE,1
2015,5303002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2016,5303002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2016,5303002,45-64,KIDNAPPING,1
2015,5303002,45-64,MOTOR VEHICLE THEFT,4
2015,5303002,45-64,NARCOTICS,6
2016,5303002,45-64,NARCOTICS,3
2015,5303002,45-64,OFFENSE INVOLVING CHILDREN,1
2016,5303002,45-64,OFFENSE INVOLVING CHILDREN,1
2015,5303002,45-64,OTHER OFFENSE,2
2016,5303002,45-64,OTHER OFFENSE,2
2015,5303002,45-64,PUBLIC PEACE VIOLATION,1
2015,5303002,45-64,ROBBERY,4
2014,5303002,45-64,THEFT,1
2015,5303002,45-64,THEFT,36
2016,5303002,45-64,THEFT,9
2015,5303002,45-64,WEAPONS VIOLATION,1
2016,5303002,45-64,WEAPONS VIOLATION,1
2015,5303003,45-64,ASSAULT,2
2015,5303003,45-64,BATTERY,2
2016,5303003,45-64,BATTERY,1
2016,5303003,45-64,BURGLARY,1
2016,5303003,45-64,MOTOR VEHICLE THEFT,1
2016,5303003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,5303003,45-64,THEFT,2
2016,5303003,45-64,THEFT,1
2015,5303004,45-64,ASSAULT,5
2016,5303004,45-64,ASSAULT,4
2015,5303004,45-64,BATTERY,13
2016,5303004,45-64,BATTERY,3
2015,5303004,45-64,BURGLARY,2
2016,5303004,45-64,BURGLARY,1
2015,5303004,45-64,CRIMINAL DAMAGE,8
2016,5303004,45-64,CRIMINAL DAMAGE,2
2015,5303004,45-64,CRIMINAL TRESPASS,2
2015,5303004,45-64,DECEPTIVE PRACTICE,3
2015,5303004,45-64,MOTOR VEHICLE THEFT,5
2016,5303004,45-64,MOTOR VEHICLE THEFT,1
2015,5303004,45-64,NARCOTICS,2
2016,5303004,45-64,NARCOTICS,1
2015,5303004,45-64,OFFENSE INVOLVING CHILDREN,2
2015,5303004,45-64,OTHER OFFENSE,6
2015,5303004,45-64,ROBBERY,2
2016,5303004,45-64,ROBBERY,1
2015,5303004,45-64,THEFT,8
2016,5303004,45-64,THEFT,1
2015,5303004,45-64,WEAPONS VIOLATION,1
2015,5304001,45-64,ASSAULT,1
2015,5304001,45-64,BATTERY,4
2015,5304001,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5304001,45-64,NARCOTICS,2
2016,5304001,45-64,PUBLIC PEACE VIOLATION,1
2015,5304001,45-64,ROBBERY,3
2015,5304001,45-64,THEFT,1
2016,5304001,45-64,THEFT,1
2015,5304001,45-64,WEAPONS VIOLATION,1
2016,5304001,45-64,WEAPONS VIOLATION,1
2016,5304002,45-64,ARSON,1
2015,5304002,45-64,ASSAULT,26
2016,5304002,45-64,ASSAULT,16
2018,5304002,45-64,ASSAULT,2
2015,5304002,45-64,BATTERY,67
2016,5304002,45-64,BATTERY,40
2018,5304002,45-64,BATTERY,1
2015,5304002,45-64,BURGLARY,11
2016,5304002,45-64,BURGLARY,5
2015,5304002,45-64,CRIM SEXUAL ASSAULT,1
2015,5304002,45-64,CRIMINAL DAMAGE,44
2016,5304002,45-64,CRIMINAL DAMAGE,30
2015,5304002,45-64,CRIMINAL TRESPASS,7
2016,5304002,45-64,CRIMINAL TRESPASS,4
2015,5304002,45-64,DECEPTIVE PRACTICE,17
2016,5304002,45-64,DECEPTIVE PRACTICE,1
2009,5304002,45-64,HOMICIDE,1
2015,5304002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2016,5304002,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5304002,45-64,MOTOR VEHICLE THEFT,8
2016,5304002,45-64,MOTOR VEHICLE THEFT,8
2015,5304002,45-64,NARCOTICS,22
2016,5304002,45-64,NARCOTICS,14
2015,5304002,45-64,OFFENSE INVOLVING CHILDREN,4
2016,5304002,45-64,OFFENSE INVOLVING CHILDREN,1
2015,5304002,45-64,OTHER OFFENSE,35
2016,5304002,45-64,OTHER OFFENSE,19
2015,5304002,45-64,PUBLIC PEACE VIOLATION,2
2016,5304002,45-64,PUBLIC PEACE VIOLATION,4
2015,5304002,45-64,ROBBERY,9
2016,5304002,45-64,ROBBERY,9
2015,5304002,45-64,SEX OFFENSE,3
2015,5304002,45-64,STALKING,1
2016,5304002,45-64,STALKING,2
2015,5304002,45-64,THEFT,38
2016,5304002,45-64,THEFT,18
2015,5304002,45-64,WEAPONS VIOLATION,18
2016,5304002,45-64,WEAPONS VIOLATION,9
2015,5305011,45-64,ARSON,1
2015,5305011,45-64,ASSAULT,6
2016,5305011,45-64,ASSAULT,3
2015,5305011,45-64,BATTERY,22
2016,5305011,45-64,BATTERY,23
2015,5305011,45-64,BURGLARY,5
2016,5305011,45-64,BURGLARY,4
2015,5305011,45-64,CRIMINAL DAMAGE,10
2016,5305011,45-64,CRIMINAL DAMAGE,13
2015,5305011,45-64,CRIMINAL TRESPASS,2
2015,5305011,45-64,DECEPTIVE PRACTICE,1
2016,5305011,45-64,DECEPTIVE PRACTICE,2
2015,5305011,45-64,INTERFERENCE WITH PUBLIC OFFICER,2
2015,5305011,45-64,MOTOR VEHICLE THEFT,3
2016,5305011,45-64,MOTOR VEHICLE THEFT,2
2015,5305011,45-64,NARCOTICS,7
2016,5305011,45-64,NARCOTICS,7
2015,5305011,45-64,OFFENSE INVOLVING CHILDREN,2
2015,5305011,45-64,OTHER OFFENSE,11
2016,5305011,45-64,OTHER OFFENSE,5
2015,5305011,45-64,PUBLIC PEACE VIOLATION,5
2015,5305011,45-64,ROBBERY,4
2016,5305011,45-64,ROBBERY,2
2015,5305011,45-64,THEFT,11
2016,5305011,45-64,THEFT,7
2015,5305011,45-64,WEAPONS VIOLATION,3
2016,5305011,45-64,WEAPONS VIOLATION,1
2015,5305012,18-24,ARSON,1
2016,5305012,18-24,ARSON,2
2015,5305012,18-24,ASSAULT,23
2016,5305012,18-24,ASSAULT,13
2015,5305012,18-24,BATTERY,84
2016,5305012,18-24,BATTERY,31
2015,5305012,18-24,BURGLARY,17
2016,5305012,18-24,BURGLARY,5
2015,5305012,18-24,CONCEALED CARRY LICENSE VIOLATION,1
2015,5305012,18-24,CRIM SEXUAL ASSAULT,1
2016,5305012,18-24,CRIM SEXUAL ASSAULT,1
2015,5305012,18-24,CRIMINAL DAMAGE,54
2016,5305012,18-24,CRIMINAL DAMAGE,30
2018,5305012,18-24,CRIMINAL DAMAGE,1
2015,5305012,18-24,CRIMINAL TRESPASS,3
2016,5305012,18-24,CRIMINAL TRESPASS,3
2015,5305012,18-24,DECEPTIVE PRACTICE,4
2016,5305012,18-24,DECEPTIVE PRACTICE,8
2015,5305012,18-24,INTERFERENCE WITH PUBLIC OFFICER,2
2015,5305012,18-24,MOTOR VEHICLE THEFT,8
2016,5305012,18-24,MOTOR VEHICLE THEFT,6
2015,5305012,18-24,NARCOTICS,14
2016,5305012,18-24,NARCOTICS,7
2015,5305012,18-24,OFFENSE INVOLVING CHILDREN,1
2016,5305012,18-24,OFFENSE INVOLVING CHILDREN,3
2015,5305012,18-24,OTHER OFFENSE,18
2016,5305012,18-24,OTHER OFFENSE,15
2015,5305012,18-24,PROSTITUTION,1
2015,5305012,18-24,PUBLIC PEACE VIOLATION,2
2015,5305012,18-24,ROBBERY,11
2016,5305012,18-24,ROBBERY,5
2015,5305012,18-24,SEX OFFENSE,1
2015,5305012,18-24,STALKING,1
2015,5305012,18-24,THEFT,33
2016,5305012,18-24,THEFT,15
2015,5305012,18-24,WEAPONS VIOLATION,6
2016,5305012,18-24,WEAPONS VIOLATION,3
2015,5305014,25-44,ASSAULT,2
2016,5305014,25-44,ASSAULT,2
2016,5305014,25-44,BATTERY,1
2016,5305014,25-44,BURGLARY,1
2015,5305014,25-44,CRIMINAL DAMAGE,2
2016,5305014,25-44,CRIMINAL DAMAGE,1
2015,5305014,25-44,DECEPTIVE PRACTICE,1
2009,5305014,25-44,HOMICIDE,1
2015,5305014,25-44,MOTOR VEHICLE THEFT,2
2016,5305014,25-44,MOTOR VEHICLE THEFT,2
2015,5305014,25-44,NARCOTICS,1
2015,5305014,25-44,OTHER OFFENSE,2
2015,5305014,25-44,THEFT,3
2016,5305014,25-44,THEFT,1
2015,5305014,25-44,WEAPONS VIOLATION,1
2015,5305021,65+,ASSAULT,5
2016,5305021,65+,ASSAULT,3
2015,5305021,65+,BATTERY,14
2016,5305021,65+,BATTERY,8
2015,5305021,65+,BURGLARY,2
2016,5305021,65+,BURGLARY,2
2015,5305021,65+,CRIMINAL DAMAGE,5
2016,5305021,65+,CRIMINAL DAMAGE,6
2015,5305021,65+,CRIMINAL TRESPASS,1
2015,5305021,65+,DECEPTIVE PRACTICE,4
2016,5305021,65+,DECEPTIVE PRACTICE,1
2015,5305021,65+,KIDNAPPING,2
2015,5305021,65+,MOTOR VEHICLE THEFT,2
2016,5305021,65+,MOTOR VEHICLE THEFT,1
2015,5305021,65+,NARCOTICS,2
2016,5305021,65+,NARCOTICS,2
2015,5305021,65+,OFFENSE INVOLVING CHILDREN,2
2016,5305021,65+,OFFENSE INVOLVING CHILDREN,2
2015,5305021,65+,OTHER OFFENSE,5
2015,5305021,65+,ROBBERY,2
2015,5305021,65+,THEFT,6
2016,5305021,65+,THEFT,2
2015,5305021,65+,WEAPONS VIOLATION,1
2016,5305021,65+,WEAPONS VIOLATION,1
2016,5305031,25-44,ARSON,1
2015,5305031,25-44,ASSAULT,32
2016,5305031,25-44,ASSAULT,14
2015,5305031,25-44,BATTERY,69
2016,5305031,25-44,BATTERY,38
2015,5305031,25-44,BURGLARY,8
2016,5305031,25-44,BURGLARY,8
2015,5305031,25-44,CRIM SEXUAL ASSAULT,1
2015,5305031,25-44,CRIMINAL DAMAGE,57
2016,5305031,25-44,CRIMINAL DAMAGE,17
2015,5305031,25-44,CRIMINAL TRESPASS,9
2016,5305031,25-44,CRIMINAL TRESPASS,7
2018,5305031,25-44,CRIMINAL TRESPASS,1
2015,5305031,25-44,DECEPTIVE PRACTICE,11
2016,5305031,25-44,DECEPTIVE PRACTICE,3
2008,5305031,25-44,HOMICIDE,2
2015,5305031,25-44,INTIMIDATION,1
2015,5305031,25-44,MOTOR VEHICLE THEFT,17
2016,5305031,25-44,MOTOR VEHICLE THEFT,3
2015,5305031,25-44,NARCOTICS,14
2016,5305031,25-44,NARCOTICS,5
2015,5305031,25-44,OFFENSE INVOLVING CHILDREN,1
2016,5305031,25-44,OFFENSE INVOLVING CHILDREN,3
2015,5305031,25-44,OTHER OFFENSE,22
2016,5305031,25-44,OTHER OFFENSE,12
2015,5305031,25-44,PUBLIC PEACE VIOLATION,3
2015,5305031,25-44,ROBBERY,15
2016,5305031,25-44,ROBBERY,8
2015,5305031,25-44,SEX OFFENSE,1
2016,5305031,25-44,SEX OFFENSE,1
2015,5305031,25-44,STALKING,2
2015,5305031,25-44,THEFT,41
2016,5305031,25-44,THEFT,13
2015,5305031,25-44,WEAPONS VIOLATION,3
2016,5305031,25-44,WEAPONS VIOLATION,5
2015,5305032,45-64,ARSON,1
2015,5305032,45-64,ASSAULT,21
2016,5305032,45-64,ASSAULT,14
2015,5305032,45-64,BATTERY,61
2016,5305032,45-64,BATTERY,32
2014,5305032,45-64,BURGLARY,1
2015,5305032,45-64,BURGLARY,21
2016,5305032,45-64,BURGLARY,6
2016,5305032,45-64,CRIM SEXUAL ASSAULT,2
2015,5305032,45-64,CRIMINAL DAMAGE,46
2016,5305032,45-64,CRIMINAL DAMAGE,25
2016,5305032,45-64,CRIMINAL TRESPASS,1
2014,5305032,45-64,DECEPTIVE PRACTICE,1
2015,5305032,45-64,DECEPTIVE PRACTICE,12
2016,5305032,45-64,DECEPTIVE PRACTICE,7
2015,5305032,45-64,KIDNAPPING,1
2015,5305032,45-64,MOTOR VEHICLE THEFT,9
2016,5305032,45-64,MOTOR VEHICLE THEFT,8
2018,5305032,45-64,MOTOR VEHICLE THEFT,1
2015,5305032,45-64,NARCOTICS,12
2016,5305032,45-64,NARCOTICS,4
2015,5305032,45-64,OFFENSE INVOLVING CHILDREN,3
2016,5305032,45-64,OFFENSE INVOLVING CHILDREN,1
2014,5305032,45-64,OTHER OFFENSE,1
2015,5305032,45-64,OTHER OFFENSE,29
2016,5305032,45-64,OTHER OFFENSE,15
2016,5305032,45-64,PROSTITUTION,1
2015,5305032,45-64,PUBLIC PEACE VIOLATION,1
2015,5305032,45-64,ROBBERY,11
2016,5305032,45-64,ROBBERY,7
2015,5305032,45-64,THEFT,42
2016,5305032,45-64,THEFT,21
2015,5305032,45-64,WEAPONS VIOLATION,9
2016,5305032,45-64,WEAPONS VIOLATION,7
2015,5305033,45-64,ASSAULT,12
2016,5305033,45-64,ASSAULT,9
2015,5305033,45-64,BATTERY,29
2016,5305033,45-64,BATTERY,14
2015,5305033,45-64,BURGLARY,17
2016,5305033,45-64,BURGLARY,4
2016,5305033,45-64,CRIM SEXUAL ASSAULT,1
2015,5305033,45-64,CRIMINAL DAMAGE,26
2016,5305033,45-64,CRIMINAL DAMAGE,14
2015,5305033,45-64,CRIMINAL TRESPASS,2
2016,5305033,45-64,CRIMINAL TRESPASS,1
2015,5305033,45-64,DECEPTIVE PRACTICE,12
2016,5305033,45-64,DECEPTIVE PRACTICE,3
2015,5305033,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,5305033,45-64,MOTOR VEHICLE THEFT,7
2016,5305033,45-64,MOTOR VEHICLE THEFT,3
2015,5305033,45-64,NARCOTICS,9
2016,5305033,45-64,NARCOTICS,3
2015,5305033,45-64,OFFENSE INVOLVING CHILDREN,1
2015,5305033,45-64,OTHER OFFENSE,11
2016,5305033,45-64,OTHER OFFENSE,2
2015,5305033,45-64,ROBBERY,3
2016,5305033,45-64,ROBBERY,4
2015,5305033,45-64,SEX OFFENSE,2
2015,5305033,45-64,THEFT,19
2016,5305033,45-64,THEFT,9
2015,5305033,45-64,WEAPONS VIOLATION,4
2016,5305033,45-64,WEAPONS VIOLATION,1
2015,5306001,45-64,ASSAULT,1
2015,5306001,45-64,BURGLARY,1
2016,5306001,45-64,BURGLARY,2
2016,5306001,45-64,DECEPTIVE PRACTICE,1
2015,5306001,45-64,MOTOR VEHICLE THEFT,1
2016,5306001,45-64,MOTOR VEHICLE THEFT,1
2015,5306001,45-64,THEFT,2
2016,5306001,45-64,THEFT,1
2015,5306001,45-64,WEAPONS VIOLATION,1
2016,5306001,45-64,WEAPONS VIOLATION,1
2015,5306002,5-17,BATTERY,3
2015,5306002,5-17,BURGLARY,1
2015,5306002,5-17,CRIMINAL DAMAGE,1
2015,5306002,5-17,CRIMINAL TRESPASS,1
2016,5306002,5-17,DECEPTIVE PRACTICE,1
2016,5306002,5-17,NARCOTICS,2
2015,5306002,5-17,OTHER OFFENSE,1
2015,5306002,5-17,THEFT,2
